scope,file,version,status,remote_version,remote_name,sql_comparison,live_assessment,notes,sha256
active,supabase/migrations/20250115120000_update_planning_strategy_enum.sql,20250115120000,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,6b1c30a6f2bf105dd2b8a28ff869e9b0963af8232fa370c9ff2f0d1292d2b5bf
active,supabase/migrations/20250601000001_ontology_system.sql,20250601000001,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,8e30eb6c001b737f96260eac6c82c1effb930de666b857d86e34feedd49f66a7
active,supabase/migrations/20250601000002_ontology_helpers.sql,20250601000002,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,309fd2de2ceb818c5a11042a780e6d78f5b04a382f551c3d158ded5233cffc3e
active,supabase/migrations/20250602000001_add_base_output_templates.sql,20250602000001,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,efa5698906562619286202388e7f8af4c739f22cea4ec570580978baee245a19
active,supabase/migrations/20250603000001_fix_documents_schema.sql,20250603000001,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,6855ea80d03adb9fceb481b2725212ea0e67ac603709e2acc836132a50037d26
active,supabase/migrations/20250605000001_add_missing_base_templates.sql,20250605000001,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,658eb65bcf30d737795f3c16d7b92eab19293bd841572bd61d7e548ddb1e4c68
active,supabase/migrations/20250605000002_update_template_metadata.sql,20250605000002,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,36d821ef83159dcb220c2890d1f91b0f79bd548ed7c345b758b17f7bd882a85b
active,supabase/migrations/20250615000003_fix_fsm_variant_resolution.sql,20250615000003,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,178dee4b015bed8a01a2a317df44efa98e554bcfd6e14edf6f7a3544ba6144fc
active,supabase/migrations/20250615000004_guard_visibility_and_fsm_fix.sql,20250615000004,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,e61324180a9daf18e4cfa25f7790545340427b0b703c7ee5565aac50f599ed85
active,supabase/migrations/20250615000005_fsm_guard_failures.sql,20250615000005,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,d268b46e39a0c184f4d8252a39a09ca9603a5bb42923c6776c4dd3bbf9c14b88
active,supabase/migrations/20251224000000_ontology_search_vectors.sql,20251224000000,unrecorded,,,no_matching_ledger_entry,not_verified,No matching production version/name/complete SQL; historical effects not certified. Do not infer that replay is required.,5dc9fa08bf351801ae8e27d74d925a3f2c9477b41810d0427bbf4a2893da0b55
